"korean","chinese","english","gender"
"헤즈","洪宜珍","",""
"견미리","甄美里","Kyeon Mi-ri",""
"황보인","皇甫仁","Hwangbo In",""
"조수원","赵秀沅","",""
"차인하","车璌河","Cha In-ha",""
"차미경","车美京","Cha Mi-kyung",""
"정인환","郑仁焕","Jung In-whan",""
"김신비","金伸比","",""
"김준수 (가수)","金俊秀","Kim Junsu",""
"김보형","金保亨","Kim Bo-hyung",""
"김선교","金善教","",""
"김혜인","金惠仁","Kim Hye-in",""
"박선임","金诗贤","",""
"김재환 (배드민턴 선수)","金载焕","Kim Jae-hwan (badminton)",""
"한동희 (1997년)","韩东希","Han Dong-hee",""
"코요태","高耀太","Koyote",""
"틀:FNC 엔터테인먼트","Template:FNC娱乐","Template:FNC Entertainment",""
"12월의 열대야","12月的热带夜","",""
"대한민국 제17대 대통령 선거","2007年大韩民国总统选举","2007 South Korean presidential election",""
"하이라이트 (음악 그룹)","Highlight (韩国组合)","Highlight (band)",""
"KQ 엔터테인먼트","KQ娱乐","KQ Entertainment",""
"삼성카드","三星信用卡","Samsung Card",""
"유지애","刘智爱","Yoo Ji-ae",""
"오영환 (1988년)","吴永焕","Oh Yeong-hwan",""
"4·19 혁명","四一九运动","April Revolution",""
"송주희 (1990년)","宋主喜","Alice (South Korean singer)",""
"송채윤","宋旻晶","",""
"최재형 (정치인)","崔在亨","Choi Jae-hyung",""
"최윤정 (1971년)","崔胤贞","",""
"파리의 연인","巴黎恋人","Lovers in Paris",""
"장면","张勉 (韩国)","Chang Myon",""
"장수영 (배드민턴 선수)","张水荣","Jang Soo-young",""
"문창진","文昶辰","Moon Chang-jin",""
"박세라 (펜싱 선수)","朴世摞","",""
"박동혁 (1979년)","朴东赫","Park Dong-hyuk",""
"박인천","朴仁天","Park In-chon",""
"박규영","朴圭瑛","Park Gyu-young",""
"박지현 (2000년)","朴智铉","Park Ji-hyun (basketball)",""
"박범신","朴范信","Park Bum-shin",""
"박소현 (배우)","朴素贤","Park So-hyun",""
"이용규 (야구 선수)","李容圭","Lee Yong-kyu",""
"이정민 (쇼트트랙 선수)","李廷敏","Lee Jeong-min (speed skater)",""
"이민지 (미스코리아)","李敏智 (2015年韩国小姐)","Lee Min-ji (Miss Korea)",""
"이소정 (배우)","李昭正","",""
"이화겸","李瑜瑛","Lee Hwa-kyum",""
"이지은 (1971년)","李知恩 (1971年)","Lee Ji-eun (actress, born 1971)",""
"백하나","白荷娜","Baek Ha-na",""
"우하람","禹河览","Woo Ha-ram",""
"자우림","紫雨林","Jaurim",""
"나경은","罗京恩","",""
"로망스 (드라마)","罗曼史 (电视剧)","Romance (South Korean TV series)",""
"엘키","庄锭欣","Elkie Chong",""
"허정민","许正民","Heo Jung-min",""
"변하율","边荷律","",""
"김국희","金国熙","Kim Gook-hee",""
"김경자 (탁구 선수)","金庚子","Kim Kyung-ja",""
"김충용 (탁구 선수)","金忠勇","",""
"솔라 (가수)","颂乐","Solar (singer)",""
"릴리 (가수)","Lily (歌手)","Lily (singer, born 2002)",""
"스타하우스엔터테인먼트","Starhaus娱乐","",""
"비타민 (음악 그룹)","Vitamin (女子组合)","",""
"인천광역시장","仁川广域市长","Mayor of Incheon",""
"전광진 (축구 선수)","全光真","Jeon Kwang-jin",""
"전주의 얼굴 없는 천사","全州无脸天使","",""
"유영진 (작곡가)","刘英振","Yoo Young-jin",""
"길재","吉再","Kil Chae",""
"오승윤 (배우)","吴承允","Oh Seung-yoon",""
"강민혁 (가수)","姜敏赫","Kang Min-hyuk",""
"강지영 (아나운서)","姜智荣","",""
"효명옹주","孝明翁主","Princess Hyomyeong",""
"안영미 (희극인)","安英美","Ahn Young-mi",""
"송승민 (축구 선수)","宋承民","Song Seung-min",""
"윤준상","尹畯相","Yun Jun-sang",""
"최진철","崔真喆","Choi Jin-cheul",""
"문은아","文恩娥","",""
"문지원 (시나리오 작가)","文智媛","Moon Ji-won",""
"조혜정 (배우)","曹惠晶","Cho Hye-jung",""
"박민호 (1992년)","朴旼镐","Park Min-ho",""
"박시춘","朴是春","",""
"이이경","李伊庚","Lee Yi-kyung",""
"이우성","李宇盛","Lee Woo-sung",""
"홍빈 (1993년)","李弘彬","Lee Hong-bin",""
"이종석 (법조인)","李悰锡","Lee Jong-seok (judge)",""
"이승렬 (1989년)","李升烈","Lee Seung-yeoul",""
"이지원 (1995년)","李智媛","",""
"황금희","池成媛","Hwang Geum-hee",""
"심소영 (1995년)","沈素英 (1995年)","",""
"홍만종","洪万宗","",""
"형섭X의웅","炯燮x义雄","Hyeongseop X Euiwoong",""
"신정왕후 (조선)","神贞王后","Queen Sinjeong",""
"우석X관린","禹硕 X 冠霖","Wooseok x Kuanlin",""
"제5공화국 (드라마)","第五共和国 (电视剧)","5th Republic (TV series)",""
"조경태","赵庆泰","Cho Kyoung-tae",""
"신본기","辛本基","",""
"김종태 (1975년)","金宗泰","",""
"김진표 (정치인)","金振杓","Kim Jin-pyo (politician)",""
"김주현 (배우)","金珠贤","Kim Joo-hyun (actress)",""
"김수현 (작가)","金秀贤 (作家)","Kim Soo-hyun (writer)",""
"김예령","金艺玲","Kim Ye-ryeong",""
"현진 (2000년 3월)","铉辰","Hyunjin (Stray Kids singer)",""
"한덕수","韩悳洙","Han Duck-soo",""
"틀:아이유","Template:IU (歌手)","Template:IU (singer)",""
"SM 컬처 유니버스","SM文化宇宙","SM Culture Universe",""
"스트레이 키즈 (텔레비전 프로그램)","Stray Kids (电视节目)","Stray Kids (TV program)",""
"슈퍼주니어의 음반 목록","Super Junior音乐作品列表","Super Junior discography",""
"톡식","TOXIC (组合)","",""
"The First (싱글)","The First (NCT Dream单曲)","The First (single album)",""
"열음엔터테인먼트","Yuleum娱乐","",""
"원혜경","元蕙敬","Won Hye-kyung",""
"여경래","吕敬来","",""
"오동민","吴东旻","",""
"대군주","大君主","",""
"강진성","姜真成","Kang Jin-sung",""
"안바울","安保罗","An Ba-ul",""
"안세현","安洗贤","An Se-hyeon",""
"윤관석","尹官石","Youn Kwan-suk",""
"윤성식 (연출가)","尹成植","Yoon Sung-sik",""
"최승경","崔承京","",""
"최예진 (컴퓨터 과학자)","崔艺珍","Yejin Choi",""
"이구지","李仇之","Yi Kuji",""
"이채호","李彩豪","",""
"이정현 (1980년)","李贞贤","Lee Jung-hyun",""
"이현상 (1770년)","李显相","",""
"유관순","柳宽顺","Yu Gwan-sun",""
"유형원","柳馨远","Yu Hyeong-won",""
"권해효","权海骁","Kwon Hae-hyo",""
"권한솔","权韩率","Kwon Han-sol",""
"심우준","沈佑俊","Shim Woo-jun",""
"전지윤","田祉润","Jeon Ji-yoon",""
"신민준","申旻埈","Shin Min-jun",""
"조목","赵穆","",""
"정주현","郑周贤","Jung Ju-hyeon",""
"정혜성","郑惠成","Jung Hye-sung",""
"정지환","郑旨桓","",""
"정희용","郑熙溶","",""
"김준호 (펜싱 선수)","金准镐","Kim Jun-ho (fencer)",""
"김민서 (2009년)","金敏书 (2009年)","Kim Min-seo (actress, born 2009)",""
"김명신 (야구 선수)","金明信","Kim Myeong-sin",""
"김정권 (영화 감독)","金正权","Kim Jung-kwon",""
"김환희","金焕熙","Kim Hwan-hee",""
"은혁","银赫","Eunhyuk",""
"민겸호","闵谦镐","",""
"한상진 (배우)","韩尚进","Han Sang-jin",""
"한예리","韩艺璃","Han Ye-ri",""
"명량 (영화)","鸣梁：怒海交锋","The Admiral: Roaring Currents",""
"틀:AKMU","Template:乐童音乐家","Template:AKMU",""
"제3회 전국동시지방선거","2002年大韩民国地方选举","2002 South Korean local elections",""
"B.A.P의 음반 목록","B.A.P音乐作品列表","B.A.P discography",""
"BF (음악 그룹)","Boyfriend (男子团体)","Boyfriend (band)",""
"LG디스플레이","LG显示","LG Display",""
"구본찬","具本粲","Ku Bon-chan",""
"변정수","卞贞秀","Byun Jung-soo",""
"송경아 (모델)","宋庆雅","",""
"최재훈 (야구 선수)","崔在勋","",""
"최정 (바둑 기사)","崔精","Choi Jeong (Go player)",""
"정우 (가수)","廷祐","Jungwoo",""
"장진성","张真晟","Jang Jin-sung",""
"서현 (1991년)","徐玄","Seohyun",""
"문태준 (정치인)","文太俊 (政治人物)","",""
"조선왕조의궤","朝鲜王室仪轨","Uigwe",""
"박해정 (탁구 선수)","朴海晶","Park Hae-jung (table tennis)",""
"박시은 (1980년)","朴诗恩","Park Si-eun (actress, born 1980)",""
"이동국","李同国","Lee Dong-gook",""
"이애정","李爱情","Lee Ae-jung",""
"이기광","李起光","Lee Gi-kwang",""
"임상춘","林恦䞐","Lim Sang-choon",""
"임창용","林昌勇","Lim Chang-yong",""
"홍서희","洪瑞熙","",""
"모지수","牟智洙","Mo Ji-soo",""
"문별","玟星","Moonbyul",""
"백봉기","白奉基","Baek Bong-ki",""
"백은혜 (1986년)","白恩惠","Baek Eun-hye",""
"백종원","白种元","Paik Jong-won",""
"채명신","蔡命新","Chae Myung-shin",""
"조윤수","赵允秀","Jo Yoon-su",""
"차수연","车秀妍","Cha Soo-yeon",""
"정은원","郑恩源","Jung Eun-won",""
"정동만","郑东万","",""
"정석영","郑石英","Jeong Suk-young",""
"김승원 (1969년)","金胜源","",""
"김휘집","金挥执","",""
"김지원 (배우)","金智媛","Kim Ji-won",""
"김숙","金淑","Kim Sook",""
"김제덕","金济德","Kim Je-deok",""
"음문석","阴问锡","Eum Moon-suk",""
"한수연","韩秀妍","Han Soo-yeon",""
"GOT7의 음반 목록","GOT7音乐作品列表","Got7 discography",""
"건원릉","健元陵","",""
"전혜원","全惠媛","Jeon Hye-won",""
"맹성규","孟圣奎","Maeng Sung Kyu",""
"안석환","安奭奂","Ahn Suk-hwan",""
"송재근","宋在根","Song Jae-kun",""
"송재호 (정치인)","宋在祜","",""
"우기 (가수)","宋雨琦","Yuqi",""
"윤재갑","尹才钾","",""
"최권","崔权","Choi Kwon",""
"염경엽","廉京烨","Youm Kyoung-youb",""
"장재호","张宰怙","Moon (gamer)",""
"장성규","张圣圭","Jang Sung-kyu",""
"장휘국","张辉国","",""
"성혼","成浑","Sŏng Hon",""
"문채원","文彩元","Moon Chae-won",""
"조희연 (1956년)","曹喜昖","",""
"박주희 (가수)","朴奏嬉","",""
"박성환 (배드민턴 선수)","朴成奂","Park Sung-hwan",""
"박지원 (1737년)","朴趾源","Pak Chiwŏn (philosopher)",""
"이일재","李日载","",""
"이미영 (배우)","李美英 (演员)","Lee Mi-young (actress)",""
"임기영","林起映","Im Gi-yeong",""
"양용은","梁容银","Yang Yong-eun",""
"호시","权顺荣","Hoshi (South Korean singer)",""
"하율리","河律莉","",""
"신은경 (배우)","申恩庆","Shin Eun-kyung",""
"신경수 (연출가)","申景秀","",""
"뱅 (프로게이머)","裴俊植","",""
"정우영 (1989년)","郑又荣","Jung Woo-young",""
"정병원","郑炳元","",""
"정수빈","郑秀彬 (棒球运动员)","Jung Soo-bin",""
"김덕현 (육상 선수)","金德现","Kim Deok-hyeon",""
"김혜수","金憓秀","Kim Hye-soo",""
"김정남 (축구인)","金正男 (足球运动员)","Kim Jung-nam",""
"김유찬","金裕璨","",""
"김현 (배우)","金贤 (韩国演员)","Kim Hyun (actress)",""
"진성준","陈声准","",""
"한희 (연출가)","韩熙","",""
"한지효 (2000년)","韩知晓","",""
"한석규","韩石圭","Han Suk-kyu",""
"틀:조선의 섭정","Template:朝鲜王朝摄政","",""
"하이수현","HI秀贤","Hi Suhyun",""
"삼성플라자","三星广场","AK Plaza, Bundang",""
"삼성그룹","三星集团","Samsung",""
"오영주","吴英珠","",""
"승관 (가수)","夫胜宽","Seungkwan",""
"TAG (가수)","孙永宅","",""
"손담비","孙淡妃","Son Dam-bi",""
"염기훈","廉基勋","Yeom Ki-hun",""
"장미관","张未冠","Jang Mi-kwan",""
"경빈 박씨 (중종)","敬嫔朴氏","",""
"문형표","文亨杓","",""
"조건우","曹建雨","Cho Gun-woo",""
"박민영","朴敏英","Park Min-young",""
"박명신","朴明申","",""
"박윤희 (배우)","朴胤熙","",""
"박연경","朴软景","",""
"이선희 (태권도 선수)","李仙熙","Lee Sun-hee (taekwondo)",""
"이원정 (배우)","李元郑","Lee Won-jung",""
"이효춘","李孝春","",""
"이택근","李宅根","Lee Taek-keun",""
"이창진 (야구 선수)","李昶镇","",""
"이정선 (작가)","李晶善","",""
"구마유시","李珉炯","Gumayusi",""
"이시원 (야구 선수)","李禔元","",""
"이시연 (1980년)","李诗妍","Lee Si-yeon",""
"이종걸","李钟杰","Lee Jong-kul",""
"이아현","李雅贤","Lee Ah-hyun",""
"임정희","林正姬","Lim Jeong-hee",""
"롯데월드타워","乐天世界塔","Lotte World Tower",""
"신립","申砬","Sin Rip",""
"노희경","卢熙京","Noh Hee-kyung",""
"정재영","郑在咏","Jung Jae-young",""
"김원석 (1977년)","金元硕 (编剧)","Kim Won-seok (writer)",""
"김진환 (가수)","金振焕","",""
"김백일","金白一","",""
"김수지 (컬링 선수)","金秀智 (冰壶运动员)","Kim Su-ji (curler)",""
"김범수 (가수)","金范洙","Kim Bum-soo (singer)",""
"한진창","韩镇昌","",""
"황대인","黄大仁","",""
"틀:윤종빈","Template:尹钟彬","Template:Yoon Jong-bin",""
"틀:동방신기","Template:东方神起","Template:TVXQ",""
"제4회 전국동시지방선거","2006年大韩民国地方选举","2006 South Korean local elections",""
"삼청교육대","三清教育队","Samchung re-education camp",""
"지바 롯데 마린스","千叶罗德海洋","Chiba Lotte Marines",""
"니모 (가수)","吴尚恩","",""
"엄태영 (1958년)","严泰永","",""
"안선재","安东尼·蒂格","Brother Anthony",""
"안재홍","安在鸿","Ahn Chai-hong",""
"안진경 (가수)","安珍庆","",""
"안흥군","安兴君","",""
"송기헌","宋基宪","",""
"윤다영","尹多英","",""
"윤지혜 (배우)","尹智慧","Yoon Ji-hye",""
"제우스 (프로게이머)","崔祐齐","Zeus (gamer)",""
"광역지방자치단체장","广域地方自治团体长","List of current South Korean mayors and governors",""
"맨도롱 또똣","心情好又暖","Warm and Cozy",""
"기안84","旗安84","Kian84",""
"토토가3 - H.O.T.","星期六星期六是歌手第三季 - H.O.T.","",""
"박태수 (축구 선수)","朴太洙","Park Tae-soo",""
"박두식","朴斗植","Park Doo-shik",""
"박소희 (만화가)","朴素熙","",""
"박지윤 (방송인)","朴芝润","Park Ji-yoon (presenter)",""
"이시종","李始钟","Lee Si-jong",""
"이준기","李准基","Lee Joon-gi",""
"이지연 (가수)","李芝娟","",""
"이은미 (작가)","李银美 (编剧)","",""
"환상의 커플 (드라마)","梦幻情侣","Couple or Trouble",""
"홍윤화","洪允和","",""
"전미도","田美都","Jeon Mi-do",""
"신용재","申容财","",""
"백미경 (작가)","白美琼","Baek Mi-kyung",""
"우민규","禹珉规","",""
"순명효황후","纯明孝皇后","Empress Sunmyeonghyo",""
"김주영 (1988년)","金周荣","Kim Ju-young",""
"김소희 (태권도 선수)","金昭熙","Kim So-hui (taekwondo, born 1994)",""
"김홍선 (영화 감독)","金泓善","",""
"김윤미 (쇼트트랙 선수)","金润美","Kim Yun-mi (speed skater)",""
"김청용","金清容","Kim Cheong-yong",""
"김용식 (1913년)","金溶植","Kim Yong-shik",""
"김병욱 (1965년)","金炳旭 (1965年)","",""
"김희원 (배우)","金熙元 (演员)","Kim Hee-won",""
"한산: 용의 출현","闲山：龙的出现","Hansan: Rising Dragon",""
"황동주","黄东柱","",""
"2018년 제3차 남북정상회담","2018年9月南北韩首脑会谈","September 2018 inter-Korean summit",""
"SIGNAL (트와이스의 EP)","SIGNAL (TWICE迷你专辑)","Signal (EP)",""
"아이돌학교","偶像学校","Idol School (2017 TV series)",""
"오세훈","吴世勋","Oh Se-hoon",""
"오달수","吴达秀","Oh Dal-su",""
"태양 (가수)","太阳 (歌手)","Taeyang",""
"송중기","宋仲基","Song Joong-ki",""
"영재 (1996년)","崔荣宰","Choi Young-jae",""
"최진영 (배우)","崔真永","Choi Jin-young",""
"피터 코스그로브","彼得·科斯格罗夫","Peter Cosgrove",""
"신기생뎐 (드라마)","新妓生传","New Tales of Gisaeng",""
"박성화","朴成华","Park Sung-hwa",""
"박유환","朴有焕","Park Yu-hwan",""
"박진영","朴轸永","J.Y. Park",""
"CL (가수)","李彩麟","CL (rapper)",""
"이지원 (2006년)","李智元","Lee Ji-won",""
"이서우 (1633년)","李瑞雨","Yi Sŏu",""
"이연화 (배드민턴 선수)","李莲花","Lee Yun-hwa",""
"이용우 (1964년)","李龙雨","Lee Yong-woo (politician)",""
"임주환","林周焕","Lim Ju-hwan",""
"임효숙","林孝琡","Lim Hyo-sook",""
"양정모 (기업인)","梁正模 (企业家)","",""
"심의겸","沈义谦","Sim Ŭigyŏm",""
"하륜","河仑","Ha Ryun",""
"전광렬","田光烈 (韩国)","Jun Kwang-ryul",""
"익현군","翼岘君","",""
"허태정","许泰铤","Heo Tae-jeong",""
"하인스 워드","赫因斯·沃德","Hines Ward",""
"조운흘","赵云仡","",""
"조혜련","赵惠莲","Jo Hye-ryun",""
"정준하","郑埻夏","Jeong Jun-ha",""
"정만식","郑满植","Jung Man-sik",""
"김건희","金建希","Kim Keon Hee",""
"김승수 (배우)","金承洙","Kim Seung-soo",""
"김동연","金东兖","Kim Dong-yeon (politician)",""
"김동진 (1982년)","金东进","Kim Dong-jin",""
"김청","金清","",""
"1·21 사태","青瓦台事件","Blue House raid",""
